date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2023/6/12	26.08 	68.81 	2304.07 	7.614017662	7305.755979	1.067540453	382.1108168	570.3303996	738.5640512	443145.1836	2.099977273
2023/6/13	29.48 	59.76 	2489.22 	7.64097017	7277.488826	1.00999096	346.30207	578.7930827	750.6963192	442726.8826	2.03560421
2023/6/14	32.63 	55.91 	6789.98 	7.596563346	7365.246959	1.04689186	365.3133699	557.49059	767.8617368	444855.284	2.224654198
2023/6/15	29.84 	57.32 	4469.94 	7.720633561	7404.036263	1.111603948	450.0190177	565.6762055	747.7424243	455894.601	2.127699561
2023/6/16	27.08 	64.17 	2640.22 	7.53417203	7430.90992	1.340252251	538.6374693	572.0250831	704.8783756	445624.1193	1.411149112
2023/6/17	21.87 	84.51 	1218.53 	7.521196606	7373.029191	1.174574001	449.7999649	567.1461267	670.2860007	441900.5649	0.323693839
2023/6/18	26.72 	73.51 	5671.08 	7.48407653	7462.578001	1.240473289	477.4388417	574.0676779	735.8905839	444997.4931	0.991227025
2023/6/19	28.29 	72.55 	5324.99 	7.374658892	7771.506323	1.203398044	386.8586762	579.5868367	648.1222058	452896.3493	1.725800243
2023/6/20	28.01 	72.04 	3737.19 	7.577685852	7519.234665	1.373884771	518.7239057	568.4370267	692.1259039	453625.2731	1.68875766
2023/6/21	33.71 	61.44 	7216.94 	7.485703353	7538.930251	1.420598043	542.8539822	570.4198509	657.3279277	449154.7715	2.902708948
2023/6/22	33.97 	59.02 	6959.97 	7.559284752	7225.472351	1.393311486	508.2589771	555.478467	658.3401425	433759.0102	3.906633954
2023/6/23	34.56 	57.93 	6829.16 	7.446800855	7556.252618	1.829462805	602.9191925	567.8765694	621.8436092	447500.7803	3.242344364
2023/6/24	32.56 	58.47 	5481.83 	7.587958605	7388.656076	1.280161205	476.7219393	559.9452041	641.3071962	445326.7397	5.142636002
2023/6/25	33.87 	57.13 	6710.40 	7.495656044	7519.36041	1.357259479	486.0480961	557.1634221	636.2476646	448081.9177	7.513535983
2023/6/26	34.06 	59.07 	6192.59 	7.539727066	7402.958521	1.307811113	466.7180133	540.5815057	652.4625569	444127.0704	6.708080428
2023/6/27	30.98 	71.97 	3621.26 	7.3125	11983.21094	6	2642	2089.307692	2034.444444	727669	2.022517949
2023/6/28	31.55 	72.89 	5203.85 	8.255	11935.13522	5.32	2468.28	2301.051495	2185.01701	701925.5	1.899144354
2023/8/23	29.09122938	66.17457799	2284.543429	3.3125	2320.169492	0	0	885.7222222	0	68445	1.380361682
2023/8/24	29.46739356	69.26967303	4349.493646	3.3125	2320.169492	0	0	885.7222222	0	68445	3.047327891
2023/8/25	24.87876252	83.24840864	1669.339167	3.875	2462.148148	0	0	655.173913	0	66478	1.544262527
2023/8/26	22.1328195	87.97547023	1311.615313	3.6875	2617.907692	0	0	386.7	0	85082	1.524870409
2023/8/27	25.40808437	75.47184626	4218.115	3.375	3425.125	0	0	646.8823529	0	95903.5	4.971013734
2023/8/28	28.59654236	71.03492419	7278.091979	4.0625	3879.666667	0	0	990.1538462	0	110570.5	7.254681281
2023/8/29	31.45225518	64.02206421	10326.01135	3.5	4544.442623	0	0	1333.8125	0	138605.5	10.10285647
2023/8/30	32.35272714	61.61408424	10692.69563	5.925	3543.617681	2.4	1350.4	442.6	0	167247	10.70919797
2023/8/31	32.54881575	62.60046959	10219.68938	6.375	3392.764706	2	1242	509	0	173031	11.89337855
2023/9/1	29.29510804	68.78805161	5520.399688	6.625	3316.886792	0	0	0	0	175795	8.020892366
2023/9/2	32.16274609	65.54743449	6116.510625	6.25	3803.846684	2.5	1098.5	553.5833333	0	188601.1667	7.721815345
2023/9/3	32.48549349	64.21731313	6018.304583	6.5	3861.134615	0	0	510	0	200779	7.406437612
2023/9/4	31.93625312	66.19831721	5695.553646	6.625	5365.528302	0	0	849	0	284373	6.471647511
2023/9/5	31.49978558	61.4083608	6133.199792	5.75	7222.804348	1	238	1846	0	332249	7.610684727
2023/9/6	29.51466453	62.53973643	4194.891979	6.375	7607.529412	4	1360	0	0	387984	4.540061856
2023/9/7	31.54203309	64.04280663	5318.812292	6.5	8270.538462	6	2357	1990.5	0	430068	5.788439548
2023/9/8	31.55307987	65.25449753	4372.190833	6.875	8319.709091	3	523	1751	0	457584	4.375205601
2023/9/9	26.70074963	79.66691653	2060.271146	7.375	8343.372881	2	346	2262.571429	0	492259	2.306849135
2023/9/10	31.05672071	67.05474854	5159.755208	8.625	8472.73913	5	1759	2385.833333	0	584619	4.808903195
2023/9/11	24.24082275	84.68570709	1900.354479	8.125	9789.015385	1	285	2668.4	0	636286	2.058197823
2023/9/12	27.95096142	71.30635579	6110.624271	8.5	10136.77941	6	4131	2707.333333	0	689301	4.416792683
2023/9/13	28.6313404	69.30971146	7351.835729	10.25	11139.80488	8	3243	3666.9	0	913464	12.69495755
